Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median
Evaluator_Touple_For_Int_Should_Return_22,Job-QTYCDD,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,100,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,119.95 ns,0.440 ns,1.283 ns,116.60 ns,123.60 ns,119.88 ns
Evaluator_Touple_Should_Return_AddCode_Challenge_Is_Working_Nicely,Job-QTYCDD,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,100,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,216.72 ns,0.702 ns,2.058 ns,210.38 ns,220.67 ns,216.79 ns
Evaluator_Touple_With_No_Function_Returns_Seed,Job-QTYCDD,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,100,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,31.68 ns,0.093 ns,0.264 ns,31.24 ns,32.47 ns,31.64 ns
Evaluator_Touple_For_Double_With_Seed_5_And_Function_Power_Of_2_With_No_Additional_Arg_Aeturns_25,Job-QTYCDD,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,100,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,87.67 ns,0.243 ns,0.673 ns,86.20 ns,89.43 ns,87.55 ns
Evaluator_Touple_For_Boolean_With_Seed_TRUE_And_Additional_Args_TRUE_And_False_Should_Return_FALSE,Job-QTYCDD,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,100,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,69.24 ns,0.228 ns,0.658 ns,66.33 ns,71.01 ns,69.18 ns
Evaluator_Touple_Add_Null_Function_Throws_ArgumentNullException,Job-QTYCDD,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,100,Default,Default,Default,Default,Default,Default,Default,Throughput,16,Default,"7,017.37 ns",13.756 ns,38.345 ns,"6,961.11 ns","7,136.14 ns","7,011.49 ns"
